Order_ID,Customer_ID,Partner_ID,Order_Date,Payment_Mode,Delivery_Time_Min,Delivery_Status
O000113,C01970,D0237,09-04-2024,Cash,46,Cancelled
O000114,C04651,D0165,28-09-2025,Card,19,Late
O000115,C01516,D0465,13-06-2024,Wallet,56,Late
O000116,C02115,D0155,01-11-2024,Cash,56,Delivered
O000117,C03517,D0393,11-12-2024,Wallet,40,Delivered
O000118,C00952,D0039,26-09-2022,Card,22,Delivered
O000119,C03491,D0132,19-02-2021,UPI,28,Cancelled
O000120,C04094,D0246,24-06-2021,Cash,28,Cancelled
O000121,C02849,D0305,14-10-2024,UPI,57,Cancelled
O000122,C03184,D0358,26-12-2025,Card,57,Late
O000123,C04348,D0246,02-06-2024,UPI,18,Late
O000124,C04728,D0051,10-11-2024,Card,9,Cancelled
O000125,C02183,D0489,11-03-2023,Card,37,Delivered
O000126,C00953,D0212,01-01-2022,Wallet,33,Cancelled
O000127,C00185,D0111,26-10-2021,Card,28,Cancelled
O000128,C02433,D0038,02-01-2024,UPI,19,Cancelled
O000129,C02618,D0177,09-09-2024,Wallet,37,Delivered
O000130,C03731,D0497,20-06-2025,Card,46,Late
O000131,C04005,D0437,31-03-2024,Cash,56,Late
O000132,C00553,D0289,10-08-2024,Card,24,Cancelled
O000133,C03699,D0138,29-10-2024,UPI,12,Delivered
O000134,C03928,D0346,20-03-2022,Wallet,37,Delivered
O000135,C01790,D0364,17-12-2023,Wallet,17,Late
O000136,C03220,D0491,30-08-2024,Wallet,35,Delivered
O000137,C00848,D0083,18-01-2023,Cash,54,Delivered
O000138,C01682,D0107,04-03-2021,UPI,42,Delivered
O000139,C02962,D0204,26-05-2022,UPI,55,Cancelled
O000140,C01198,D0296,07-12-2021,Cash,48,Cancelled
O000141,C01142,D0262,14-08-2023,Card,18,Delivered
O000142,C00323,D0455,25-08-2023,Card,13,Delivered
O000143,C03616,D0118,06-01-2025,Wallet,30,Late
O000144,C04463,D0179,02-11-2021,Card,8,Late
O000145,C01096,D0004,12-05-2021,Wallet,9,Cancelled
O000146,C02417,D0071,21-01-2024,Wallet,24,Cancelled
O000147,C00569,D0224,28-10-2024,Card,39,Cancelled
O000148,C03522,D0391,24-12-2025,Card,48,Late
O000149,C02673,D0034,18-11-2021,Cash,30,Late
O000150,C00749,D0351,23-12-2024,UPI,9,Late
O000151,C00662,D0017,18-11-2023,UPI,47,Late
O000152,C04406,D0394,09-06-2022,Card,16,Late
O000153,C01417,D0107,14-11-2024,UPI,8,Delivered
O000154,C03428,D0006,15-07-2023,Card,16,Delivered
O000155,C02640,D0020,11-11-2021,Card,8,Cancelled
O000156,C01560,D0343,11-07-2022,Card,60,Cancelled
O000157,C02250,D0102,25-07-2023,Cash,59,Delivered
O000158,C04705,D0059,10-06-2023,Card,43,Delivered
O000159,C04966,D0058,20-11-2025,Wallet,53,Late
O000160,C01812,D0064,15-05-2023,Wallet,47,Late
O000161,C04573,D0242,28-01-2025,Cash,8,Delivered
O000162,C01691,D0440,03-01-2021,Cash,31,Late
O000163,C02071,D0033,08-02-2021,Wallet,14,Late
O000164,C03203,D0136,03-04-2024,Wallet,8,Delivered
O000165,C04478,D0148,18-08-2022,Cash,43,Delivered
O000166,C00818,D0169,01-02-2025,UPI,39,Late
O000167,C02453,D0074,03-04-2024,Wallet,52,Delivered
O000168,C04225,D0002,15-04-2024,Card,26,Delivered
O000169,C00975,D0184,13-01-2021,Cash,60,Delivered
O000170,C04996,D0494,09-07-2025,Wallet,47,Cancelled
O000171,C03406,D0051,05-02-2025,Card,15,Late
O000172,C01331,D0363,10-11-2022,Cash,18,Cancelled
O000173,C02004,D0357,30-11-2021,Card,50,Cancelled
O000174,C00394,D0167,28-10-2023,Card,37,Cancelled
O000175,C03646,D0326,15-09-2022,Card,30,Late
O000176,C00470,D0489,03-12-2024,Cash,39,Late
O000177,C01429,D0481,28-11-2022,Card,46,Late
O000178,C00383,D0396,07-08-2021,UPI,15,Late
O000179,C01304,D0419,27-10-2022,Cash,40,Cancelled
O000180,C03567,D0428,07-01-2022,Wallet,36,Cancelled
O000181,C04451,D0283,08-01-2024,Card,33,Delivered
O000182,C01811,D0043,01-07-2023,Cash,42,Cancelled
O000183,C00154,D0497,03-05-2022,UPI,24,Late
O000184,C04372,D0457,22-06-2025,UPI,53,Cancelled
O000185,C03858,D0061,10-09-2025,Wallet,12,Late
O000186,C01076,D0092,01-06-2024,Card,31,Cancelled
O000187,C02691,D0492,18-11-2024,Cash,50,Cancelled
O000188,C02986,D0306,06-12-2025,Card,10,Late
O000189,C02889,D0289,14-04-2023,Wallet,28,Late
O000190,C04063,D0307,28-05-2024,UPI,14,Cancelled
O000191,C01544,D0403,09-07-2023,Card,9,Cancelled
O000192,C02503,D0389,10-11-2022,Wallet,34,Delivered
O000193,C03623,D0448,28-05-2022,Cash,57,Cancelled
O000194,C00853,D0045,08-03-2023,UPI,43,Cancelled
O000195,C02922,D0496,23-12-2023,Wallet,10,Delivered
O000196,C02856,D0338,10-12-2021,Card,15,Delivered
O000197,C01651,D0195,23-12-2024,Wallet,11,Delivered
O000198,C04211,D0101,12-07-2022,Wallet,35,Cancelled
O000199,C00577,D0067,07-10-2024,Card,8,Cancelled
O000200,C04062,D0144,11-03-2023,UPI,55,Delivered
O000201,C02019,D0375,11-09-2025,Wallet,44,Cancelled
O000202,C01038,D0239,04-08-2021,Cash,52,Late
O000203,C00399,D0468,23-05-2025,Card,21,Cancelled
O000204,C03980,D0384,13-01-2024,Cash,17,Cancelled
O000205,C02995,D0376,09-08-2024,Wallet,40,Cancelled
O000206,C00860,D0280,03-05-2025,Cash,57,Delivered
O000207,C04714,D0240,22-03-2023,Card,11,Cancelled
O000208,C04657,D0005,14-08-2024,UPI,38,Delivered
O000209,C04067,D0301,06-08-2022,Cash,58,Late
O000210,C02562,D0237,01-11-2024,Cash,59,Late
O000211,C02271,D0057,07-10-2025,UPI,36,Late
O000212,C04764,D0464,24-08-2025,Card,55,Late
O000213,C01110,D0198,04-08-2024,Cash,26,Cancelled
O000214,C01903,D0153,24-04-2025,Wallet,30,Cancelled
O000215,C00894,D0353,12-03-2023,UPI,59,Cancelled
O000216,C02123,D0128,30-11-2022,Card,47,Cancelled
O000217,C02699,D0489,07-07-2024,UPI,37,Cancelled
O000218,C04689,D0495,29-05-2023,Cash,40,Late
O000219,C03691,D0260,29-03-2025,Card,51,Late
O000220,C02703,D0214,25-09-2024,UPI,32,Late
O000221,C04312,D0159,15-08-2025,Card,27,Cancelled
O000222,C00320,D0251,19-09-2025,Card,11,Late
O000223,C00802,D0413,07-11-2024,Wallet,37,Late
O000224,C00770,D0451,06-11-2024,Card,28,Cancelled
O000225,C00210,D0329,06-07-2024,UPI,39,Cancelled
O000226,C04380,D0112,06-03-2023,Card,17,Delivered
O000227,C01617,D0367,28-12-2024,Cash,26,Delivered
O000228,C01936,D0463,23-01-2022,Wallet,45,Cancelled
O000229,C04949,D0175,24-09-2021,Cash,51,Delivered
O000230,C01535,D0115,28-06-2021,Card,60,Cancelled
O000231,C03217,D0162,05-02-2022,Card,37,Delivered
O000232,C02569,D0356,06-10-2024,Cash,59,Delivered
O000233,C02333,D0320,12-07-2023,Card,24,Cancelled
O000234,C00440,D0097,14-10-2021,Card,23,Late
O000235,C03950,D0250,03-06-2021,Cash,35,Cancelled
O000236,C02702,D0454,10-03-2021,Card,53,Late
O000237,C02572,D0189,07-12-2022,Wallet,10,Delivered
O000238,C00302,D0021,22-04-2023,UPI,38,Late
O000239,C00604,D0100,07-05-2023,Cash,24,Late
O000240,C04618,D0141,26-06-2025,Wallet,59,Late
O000241,C00911,D0393,24-11-2021,UPI,43,Cancelled
O000242,C02043,D0475,19-09-2024,UPI,48,Delivered
O000243,C03913,D0347,08-02-2025,UPI,34,Late
O000244,C00244,D0225,14-02-2025,Wallet,14,Delivered
O000245,C01384,D0446,03-11-2021,Card,49,Cancelled
O000246,C00217,D0187,02-03-2023,Cash,26,Late
O000247,C04567,D0356,24-12-2022,Card,50,Delivered
O000248,C02103,D0190,28-01-2023,Cash,59,Late
O000249,C04757,D0171,15-04-2021,Card,34,Delivered
O000250,C02727,D0220,14-01-2021,Wallet,39,Late
O000251,C04415,D0311,01-07-2025,Cash,58,Delivered
O000252,C01902,D0331,08-10-2021,Wallet,34,Delivered
O000253,C04724,D0371,15-05-2024,UPI,24,Cancelled
O000254,C03368,D0019,01-03-2021,Card,52,Cancelled
O000255,C02001,D0205,04-03-2024,Wallet,54,Cancelled
O000256,C01165,D0486,19-05-2023,UPI,19,Cancelled
O000257,C01506,D0077,08-05-2021,Wallet,31,Late
O000258,C00192,D0206,02-08-2021,Wallet,57,Cancelled
O000259,C00305,D0222,10-08-2024,Wallet,9,Cancelled
O000260,C00550,D0490,29-11-2022,UPI,19,Delivered
O000261,C00458,D0107,11-04-2024,Card,24,Late
O000262,C00272,D0235,13-06-2023,Wallet,18,Delivered
O000263,C03133,D0094,31-01-2025,UPI,43,Cancelled
O000264,C01587,D0352,02-05-2022,Card,45,Cancelled
O000265,C00595,D0380,06-05-2024,Card,44,Late
O000266,C04993,D0076,19-08-2021,UPI,29,Delivered
O000267,C00204,D0246,24-06-2021,Card,19,Late
O000268,C00346,D0444,24-04-2021,Card,17,Cancelled
O000269,C01911,D0335,07-08-2023,Wallet,55,Late
O000270,C01490,D0233,16-05-2025,UPI,28,Late
O000271,C04585,D0166,03-10-2023,Wallet,58,Delivered
O000272,C04486,D0478,25-10-2021,UPI,33,Delivered
O000273,C01235,D0082,20-11-2024,UPI,13,Delivered
O000274,C03453,D0500,27-03-2024,UPI,26,Late
O000275,C03408,D0361,09-05-2023,Cash,40,Cancelled
O000276,C02655,D0071,25-02-2025,Cash,39,Late
O000277,C00108,D0433,08-03-2024,Wallet,60,Cancelled
O000278,C00160,D0332,24-05-2023,Cash,36,Delivered
O000279,C02106,D0470,31-07-2025,Cash,19,Late
O000280,C03777,D0112,17-07-2023,Wallet,52,Late
O000281,C03845,D0254,27-01-2024,Cash,8,Late
O000282,C00030,D0415,28-11-2024,Cash,34,Late
O000283,C03921,D0240,28-07-2023,UPI,35,Delivered
O000284,C01166,D0464,13-06-2024,Wallet,17,Cancelled
O000285,C02510,D0080,28-03-2023,UPI,58,Cancelled
O000286,C01117,D0263,20-06-2025,Card,33,Cancelled
O000287,C00584,D0363,11-08-2024,Wallet,24,Delivered
O000288,C03585,D0014,03-01-2021,Cash,20,Late
O000289,C00611,D0331,23-11-2023,Wallet,10,Late
O000290,C03172,D0374,08-01-2025,Wallet,42,Cancelled
O000291,C00087,D0407,17-02-2022,UPI,52,Cancelled
O000292,C03289,D0194,18-09-2022,Wallet,44,Late
O000293,C00526,D0074,13-08-2023,Card,15,Delivered
O000294,C02151,D0069,15-02-2024,Cash,23,Late
O000295,C02213,D0043,14-09-2025,Wallet,58,Delivered
O000296,C00695,D0296,21-05-2024,UPI,47,Cancelled
O000297,C02144,D0285,10-02-2021,Wallet,8,Cancelled
O000298,C00971,D0242,03-01-2021,Wallet,39,Delivered
O000299,C03007,D0088,22-03-2021,Wallet,37,Cancelled
O000300,C00848,D0371,23-04-2021,Wallet,60,Late
O000301,C00477,D0146,09-04-2022,Card,35,Cancelled
O000302,C04744,D0191,08-02-2025,Wallet,46,Late
O000303,C03712,D0359,07-11-2021,Cash,34,Delivered
O000304,C00440,D0168,18-05-2021,UPI,10,Cancelled
O000305,C00005,D0027,17-10-2024,Wallet,11,Delivered
O000306,C04067,D0285,18-02-2025,Cash,9,Cancelled
O000307,C01447,D0007,02-02-2023,UPI,17,Late
O000308,C02368,D0290,28-08-2023,Card,51,Cancelled
O000309,C01882,D0361,30-10-2024,Card,10,Delivered
O000310,C00098,D0346,19-12-2021,Wallet,31,Cancelled
O000311,C04941,D0243,05-07-2022,Wallet,51,Cancelled
O000312,C02735,D0328,17-04-2022,Wallet,28,Cancelled
O000313,C03698,D0384,26-09-2022,Cash,56,Delivered
O000314,C02839,D0078,25-02-2023,Cash,50,Cancelled
O000315,C01358,D0029,31-07-2022,UPI,33,Late
O000316,C00926,D0179,14-05-2025,Card,36,Late
O000317,C00323,D0482,13-06-2025,Cash,13,Delivered
O000318,C01953,D0235,19-05-2025,Card,36,Late
O000319,C03240,D0380,20-03-2024,Wallet,32,Cancelled
O000320,C00944,D0381,16-10-2024,Wallet,57,Delivered
O000321,C04344,D0164,05-12-2022,Wallet,57,Delivered
O000322,C03751,D0155,11-05-2024,UPI,59,Late
O000323,C04268,D0153,14-06-2024,Wallet,41,Cancelled
O000324,C00646,D0141,13-07-2022,UPI,40,Delivered
O000325,C01733,D0490,06-08-2025,Cash,40,Late
O000326,C01401,D0146,13-02-2025,UPI,51,Late
O000327,C03639,D0131,28-06-2022,Cash,9,Cancelled
O000328,C04732,D0286,14-06-2023,Card,19,Late
O000329,C03063,D0392,14-05-2022,Cash,17,Late
O000330,C04843,D0056,19-07-2021,UPI,13,Cancelled
O000331,C00465,D0467,06-12-2024,Cash,59,Cancelled
O000332,C00581,D0493,31-12-2023,Cash,34,Cancelled
O000333,C03476,D0460,14-11-2023,Cash,46,Delivered
O000334,C01360,D0040,13-05-2022,Cash,60,Cancelled
O000335,C03376,D0061,22-10-2023,Card,11,Cancelled
O000336,C03719,D0371,23-11-2024,Card,49,Late
O000337,C04358,D0005,03-12-2025,UPI,17,Delivered
O000338,C03430,D0136,14-11-2021,Cash,47,Late
O000339,C01100,D0005,17-11-2022,Cash,26,Cancelled
O000340,C01344,D0422,22-03-2024,Wallet,58,Cancelled
O000341,C00836,D0368,02-06-2024,Card,12,Late
O000342,C03855,D0498,30-10-2024,Cash,46,Cancelled
O000343,C04423,D0144,05-07-2023,Cash,32,Delivered
O000344,C02415,D0090,10-04-2024,Card,37,Delivered
O000345,C03947,D0370,27-01-2024,Cash,51,Late
O000346,C01477,D0042,22-06-2022,Wallet,13,Late
O000347,C01501,D0256,20-11-2022,UPI,59,Late
O000348,C02820,D0410,23-10-2021,Card,35,Late
O000349,C03506,D0318,29-10-2023,Wallet,45,Cancelled
O000350,C04299,D0237,22-08-2023,Cash,26,Late
O000351,C02699,D0263,13-06-2022,Wallet,56,Late
O000352,C00568,D0121,23-07-2022,UPI,15,Cancelled
O000353,C01116,D0370,05-04-2024,Card,34,Delivered
O000354,C02690,D0493,18-05-2024,Wallet,19,Cancelled
O000355,C03717,D0171,20-09-2024,UPI,52,Cancelled
O000356,C01711,D0129,11-02-2023,Card,41,Cancelled
O000357,C00223,D0057,10-11-2021,Cash,41,Late
O000358,C02414,D0246,22-05-2024,Card,35,Cancelled
O000359,C02863,D0209,01-09-2021,UPI,31,Late
O000360,C04542,D0412,04-04-2023,Card,53,Delivered
O000361,C01967,D0445,08-05-2021,Wallet,9,Cancelled
O000362,C03432,D0172,10-06-2024,Cash,41,Delivered
O000363,C02590,D0496,21-04-2022,UPI,32,Delivered
O000364,C01076,D0362,25-09-2021,Wallet,48,Late
O000365,C01977,D0128,19-04-2021,Card,36,Cancelled
O000366,C01444,D0414,18-12-2025,Wallet,12,Cancelled
O000367,C03391,D0326,21-08-2024,Card,26,Late
O000368,C03741,D0447,26-11-2025,Cash,34,Delivered
O000369,C00514,D0410,10-07-2025,UPI,16,Cancelled
O000370,C00627,D0108,19-01-2024,UPI,39,Cancelled
O000371,C01524,D0286,27-09-2023,UPI,33,Late
O000372,C00636,D0164,28-11-2024,Cash,30,Cancelled
O000373,C04184,D0170,18-11-2023,Wallet,32,Delivered
O000374,C02898,D0222,30-10-2022,Cash,13,Cancelled
O000375,C00236,D0085,11-07-2024,Card,29,Delivered
O000376,C00623,D0481,17-12-2021,Wallet,35,Cancelled
O000377,C00340,D0467,10-10-2022,Cash,32,Cancelled
O000378,C04963,D0270,08-04-2025,Cash,19,Cancelled
O000379,C04109,D0456,17-11-2021,Cash,36,Delivered
O000380,C02690,D0079,02-04-2021,Card,13,Cancelled
O000381,C01805,D0430,13-10-2024,Card,60,Cancelled
O000382,C04427,D0285,11-11-2025,Wallet,13,Cancelled
O000383,C01373,D0108,08-03-2025,Card,9,Delivered
O000384,C03544,D0484,21-02-2023,Wallet,26,Delivered
O000385,C03626,D0476,23-11-2025,Wallet,42,Late
O000386,C01116,D0219,15-01-2024,Cash,19,Late
O000387,C01180,D0271,06-08-2023,Wallet,9,Cancelled
O000388,C01993,D0077,13-01-2021,Wallet,36,Cancelled
O000389,C01856,D0426,05-07-2022,Wallet,13,Cancelled
O000390,C00060,D0209,08-01-2022,Card,60,Delivered
O000391,C02179,D0327,20-07-2024,Cash,60,Cancelled
O000392,C03017,D0246,13-05-2022,Cash,35,Delivered
O000393,C01581,D0489,24-08-2024,Card,59,Late
O000394,C04094,D0330,01-01-2025,UPI,11,Late
O000395,C02709,D0110,27-11-2022,Cash,53,Cancelled
O000396,C03849,D0112,05-05-2021,Card,57,Late
O000397,C01808,D0382,26-07-2024,Card,18,Cancelled
O000398,C02822,D0418,18-07-2025,Wallet,9,Late
O000399,C01338,D0404,06-06-2022,UPI,56,Cancelled
O000400,C01249,D0170,02-12-2022,Cash,26,Late
O000401,C04270,D0310,27-01-2025,Card,45,Late
O000402,C03754,D0333,21-03-2021,Cash,14,Delivered
O000403,C03405,D0245,17-02-2024,UPI,31,Cancelled
O000404,C03452,D0327,26-05-2025,Cash,33,Cancelled
O000405,C03771,D0120,17-12-2023,Wallet,58,Late
O000406,C03114,D0312,21-01-2021,Cash,25,Cancelled
O000407,C02168,D0383,06-10-2024,Wallet,39,Cancelled
O000408,C01870,D0107,19-01-2022,Card,47,Delivered
O000409,C01336,D0146,20-01-2024,Cash,30,Cancelled
O000410,C03812,D0471,13-11-2024,Wallet,9,Delivered
O000411,C03468,D0457,28-11-2021,Card,51,Cancelled
O000412,C02145,D0482,03-10-2022,Cash,18,Late
O000413,C02250,D0017,27-09-2023,Wallet,9,Cancelled
O000414,C04548,D0305,24-10-2022,Card,11,Delivered
O000415,C01055,D0484,11-01-2025,UPI,22,Delivered
O000416,C04718,D0262,01-03-2021,UPI,23,Cancelled
O000417,C04134,D0256,06-07-2021,Wallet,17,Cancelled
O000418,C01834,D0127,30-12-2022,Wallet,43,Cancelled
O000419,C00437,D0165,30-12-2025,UPI,10,Cancelled
O000420,C00139,D0485,28-08-2021,Cash,60,Delivered
O000421,C01694,D0235,28-07-2022,Card,28,Late
O000422,C03756,D0011,22-09-2021,Wallet,39,Delivered
O000423,C04191,D0393,02-08-2023,UPI,28,Late
O000424,C02997,D0312,03-06-2023,Cash,37,Cancelled
O000425,C04763,D0342,29-08-2022,Cash,39,Late
O000426,C04656,D0176,06-06-2024,Cash,31,Delivered
O000427,C02807,D0166,21-08-2024,Card,52,Cancelled
O000428,C03169,D0069,28-02-2024,UPI,36,Delivered
O000429,C02461,D0264,17-01-2023,Cash,12,Cancelled
O000430,C01838,D0320,08-12-2022,Card,52,Late
O000431,C01074,D0379,14-10-2025,Cash,17,Delivered
O000432,C03713,D0458,01-10-2024,Card,57,Delivered
O000433,C03231,D0333,04-10-2022,UPI,12,Cancelled
O000434,C01516,D0048,06-09-2022,Cash,39,Late
O000435,C02424,D0164,02-11-2021,UPI,59,Delivered
O000436,C00331,D0405,11-07-2025,Card,38,Cancelled
O000437,C03160,D0392,29-06-2024,Cash,37,Delivered
O000438,C00211,D0263,05-02-2025,Card,27,Delivered
O000439,C01545,D0422,01-02-2025,Cash,51,Delivered
O000440,C01412,D0371,07-07-2021,Card,55,Late
O000441,C02341,D0005,17-02-2025,Card,45,Delivered
O000442,C03576,D0120,17-08-2022,UPI,44,Late
O000443,C00740,D0091,21-06-2025,UPI,60,Cancelled
O000444,C00318,D0186,11-01-2025,Card,30,Late
O000445,C04684,D0163,08-04-2024,UPI,53,Delivered
O000446,C02313,D0474,01-08-2025,Wallet,46,Late
O000447,C00726,D0070,28-06-2025,Card,17,Late
O000448,C02478,D0209,17-01-2021,UPI,43,Cancelled
O000449,C00713,D0489,20-05-2025,UPI,21,Late
O000450,C01911,D0135,29-06-2025,Cash,38,Delivered
O000451,C01656,D0110,15-05-2024,Wallet,52,Delivered
O000452,C03783,D0219,25-01-2024,Wallet,13,Delivered
O000453,C04044,D0123,18-08-2022,Card,15,Delivered
O000454,C01235,D0014,03-05-2025,Card,47,Delivered
O000455,C01670,D0258,21-06-2021,Card,10,Delivered
O000456,C02376,D0304,26-10-2025,Cash,43,Delivered
O000457,C01334,D0317,13-12-2023,UPI,43,Cancelled
O000458,C04328,D0365,24-05-2021,Wallet,51,Late
O000459,C02475,D0415,09-01-2023,Card,20,Delivered
O000460,C04689,D0056,16-10-2024,UPI,40,Delivered
O000461,C00575,D0344,21-03-2022,Card,28,Late
O000462,C04601,D0373,31-07-2025,Card,14,Late
O000463,C01242,D0120,07-04-2025,Wallet,48,Late
O000464,C04007,D0028,08-09-2022,UPI,38,Delivered
O000465,C00093,D0440,03-09-2024,Card,52,Cancelled
O000466,C04614,D0048,20-06-2024,UPI,40,Late
O000467,C02381,D0019,20-10-2022,UPI,15,Delivered
